size,cycles,type,dpu
2048,528736,dec,4
2048,529360,enc,5
2048,528736,dec,5
2048,529328,enc,6
2048,528640,dec,6
2048,529360,enc,7
2048,528736,dec,7
2048,529312,enc,8
2048,528784,dec,8
2048,529424,enc,9
2048,528672,dec,9
2048,529312,enc,10
2048,528784,dec,10
2048,529328,enc,11
2048,528720,dec,11
2048,529360,enc,12
2048,528736,dec,12
2048,529440,enc,13
2048,528672,dec,13
2048,529360,enc,14
2048,528736,dec,14
2048,529312,enc,15
2048,528640,dec,15
2048,529424,enc,16
2048,528672,dec,16
2048,529312,enc,17
2048,528784,dec,17
2048,529424,enc,18
2048,528672,dec,18
2048,529360,enc,19
2048,528736,dec,19
2048,529440,enc,20
2048,528736,dec,20
2048,529312,enc,21
2048,528624,dec,21
2048,529360,enc,22
2048,528752,dec,22
2048,529392,enc,23
2048,528784,dec,23
2048,529360,enc,24
2048,528752,dec,24
2048,529328,enc,25
2048,528624,dec,25
2048,529312,enc,26
2048,528624,dec,26
2048,529328,enc,27
2048,528640,dec,27
2048,529360,enc,28
2048,528736,dec,28
2048,529312,enc,29
2048,528640,dec,29
2048,529392,enc,30
2048,528784,dec,30
2048,529360,enc,31
2048,528752,dec,31
2048,529424,enc,32
2048,528736,dec,32
2048,529328,enc,33
2048,528784,dec,33
2048,529360,enc,34
2048,528736,dec,34
2048,529440,enc,35
2048,528672,dec,35
2048,529312,enc,36
2048,528624,dec,36
2048,529312,enc,37
2048,528784,dec,37
2048,529360,enc,38
2048,528736,dec,38
2048,529312,enc,39
2048,528784,dec,39
2048,529328,enc,40
2048,528624,dec,40
2048,529312,enc,41
2048,528624,dec,41
2048,529440,enc,42
2048,528736,dec,42
2048,529312,enc,43
2048,528624,dec,43
2048,529328,enc,44
2048,528784,dec,44
2048,529392,enc,45
2048,528784,dec,45
2048,529360,enc,46
2048,528736,dec,46
2048,529392,enc,47
2048,528720,dec,47
2048,529312,enc,48
2048,528624,dec,48
2048,529328,enc,49
2048,528640,dec,49
2048,529312,enc,50
2048,528624,dec,50
2048,529360,enc,51
2048,528752,dec,51
2048,529392,enc,52
2048,528784,dec,52
2048,529360,enc,53
2048,528752,dec,53
2048,529392,enc,54
2048,528784,dec,54
2048,529360,enc,55
2048,528736,dec,55
2048,529328,enc,56
2048,528624,dec,56
2048,529360,enc,57
2048,528736,dec,57
2048,529312,enc,58
2048,528640,dec,58
2048,529360,enc,59
2048,528736,dec,59
2048,529312,enc,60
2048,528784,dec,60
2048,529392,enc,61
2048,528784,dec,61
2048,529360,enc,62
2048,528736,dec,62
2048,529328,enc,63
2048,528624,dec,63
4096,1057296,enc,0
4096,1056688,dec,0
4096,1057408,enc,1
4096,1056640,dec,1
4096,1057360,enc,2
4096,1056688,dec,2
4096,1057296,enc,3
4096,1056688,dec,3
4096,1057360,enc,4
4096,1056608,dec,4
4096,1057296,enc,5
4096,1056752,dec,5
4096,1057312,enc,6
4096,1056768,dec,6
4096,1057296,enc,7
4096,1056608,dec,7
4096,1057392,enc,8
4096,1056688,dec,8
4096,1057360,enc,9
4096,1056688,dec,9
4096,1057392,enc,10
4096,1056752,dec,10
4096,1057408,enc,11
4096,1056720,dec,11
4096,1057296,enc,12
4096,1056752,dec,12
4096,1057376,enc,13
4096,1056608,dec,13
4096,1057296,enc,14
4096,1056608,dec,14
4096,1057312,enc,15
4096,1056768,dec,15
4096,1057360,enc,16
4096,1056688,dec,16
4096,1057392,enc,17
4096,1056688,dec,17
4096,1057360,enc,18
4096,1056688,dec,18
4096,1057296,enc,19
4096,1056688,dec,19
4096,1057360,enc,20
4096,1056608,dec,20
4096,1057376,enc,21
