size,cycles,type,dpu
8192,212736,dec,22
8192,205520,enc,23
8192,213104,dec,23
8192,205776,enc,24
8192,213312,dec,24
8192,205632,enc,25
8192,210368,dec,25
8192,205984,enc,26
8192,213344,dec,26
8192,205824,enc,27
8192,211120,dec,27
8192,206688,enc,28
8192,211216,dec,28
8192,205728,enc,29
8192,213520,dec,29
8192,205408,enc,30
8192,213488,dec,30
8192,205824,enc,31
8192,213184,dec,31
8192,205776,enc,32
8192,211232,dec,32
8192,205680,enc,33
8192,211024,dec,33
8192,205824,enc,34
8192,212368,dec,34
8192,205072,enc,35
8192,213184,dec,35
8192,205312,enc,36
8192,212880,dec,36
8192,205472,enc,37
8192,211872,dec,37
8192,205696,enc,38
8192,212592,dec,38
8192,206176,enc,39
8192,210880,dec,39
8192,204912,enc,40
8192,210480,dec,40
8192,206032,enc,41
8192,210048,dec,41
8192,205424,enc,42
8192,212480,dec,42
8192,206592,enc,43
8192,211696,dec,43
8192,205936,enc,44
8192,213136,dec,44
8192,206256,enc,45
8192,211184,dec,45
8192,205936,enc,46
8192,213216,dec,46
8192,206064,enc,47
8192,211872,dec,47
8192,205760,enc,48
8192,210448,dec,48
8192,205936,enc,49
8192,211664,dec,49
8192,205296,enc,50
8192,211056,dec,50
8192,205360,enc,51
8192,211008,dec,51
8192,205520,enc,52
8192,213216,dec,52
8192,205792,enc,53
8192,213184,dec,53
8192,206656,enc,54
8192,210944,dec,54
8192,206160,enc,55
8192,210896,dec,55
8192,205584,enc,56
8192,211008,dec,56
8192,205840,enc,57
8192,212016,dec,57
8192,206448,enc,58
8192,213232,dec,58
8192,205408,enc,59
8192,211728,dec,59
8192,205408,enc,60
8192,210960,dec,60
8192,205392,enc,61
8192,210416,dec,61
8192,205200,enc,62
8192,211040,dec,62
8192,205536,enc,63
8192,212944,dec,63
16384,395872,enc,0
16384,402256,dec,0
16384,396080,enc,1
16384,400992,dec,1
16384,395968,enc,2
16384,402368,dec,2
16384,396704,enc,3
16384,403920,dec,3
16384,396096,enc,4
16384,401552,dec,4
16384,396096,enc,5
16384,401200,dec,5
16384,397104,enc,6
16384,402256,dec,6
16384,396960,enc,7
16384,401072,dec,7
16384,396480,enc,8
16384,400560,dec,8
16384,396480,enc,9
16384,401520,dec,9
16384,396256,enc,10
16384,403712,dec,10
16384,396048,enc,11
16384,402016,dec,11
16384,396112,enc,12
16384,402032,dec,12
16384,397216,enc,13
16384,403472,dec,13
16384,396432,enc,14
16384,403280,dec,14
16384,396992,enc,15
16384,403536,dec,15
16384,396336,enc,16
16384,401312,dec,16
16384,396096,enc,17
16384,401440,dec,17
16384,396288,enc,18
16384,401488,dec,18
16384,395728,enc,19
16384,400400,dec,19
16384,395648,enc,20
16384,401872,dec,20
16384,396432,enc,21
16384,401520,dec,21
16384,396784,enc,22
16384,402304,dec,22
16384,396128,enc,23
16384,401792,dec,23
16384,396304,enc,24
16384,403776,dec,24
16384,396384,enc,25
16384,403008,dec,25
16384,396544,enc,26
16384,400688,dec,26
16384,396224,enc,27
16384,402976,dec,27
16384,395792,enc,28
16384,402224,dec,28
16384,396928,enc,29
16384,401312,dec,29
16384,396672,enc,30
16384,401376,dec,30
16384,396128,enc,31
16384,401472,dec,31
16384,396592,enc,32
16384,402784,dec,32
16384,395872,enc,33
16384,403712,dec,33
16384,397168,enc,34
16384,400816,dec,34
16384,395488,enc,35
16384,402864,dec,35
16384,396576,enc,36
16384,400176,dec,36
16384,396272,enc,37
16384,402208,dec,37
16384,396400,enc,38
16384,401648,dec,38
16384,396096,enc,39
16384,402704,dec,39
16384,396416,enc,40
16384,400928,dec,40
16384,395888,enc,41
16384,403488,dec,41
16384,396448,enc,42
16384,402624,dec,42
16384,397200,enc,43
16384,402144,dec,43
16384,395680,enc,44
16384,401184,dec,44
16384,396176,enc,45
16384,402096,dec,45
16384,396192,enc,46
16384,402928,dec,46
16384,396496,enc,47
16384,403520,dec,47
16384,396464,enc,48
16384,401632,dec,48
16384,396336,enc,49
16384,400896,dec,49
16384,396112,enc,50
16384,401360,dec,50
16384,395232,enc,51
16384,400336,dec,51
16384,396656,enc,52
16384,402144,dec,52
16384,396336,enc,53
16384,401296,dec,53
16384,396160,enc,54
16384,401568,dec,54
16384,396608,enc,55
16384,403504,dec,55
16384,396432,enc,56
16384,402400,dec,56
16384,396336,enc,57
16384,403456,dec,57
16384,395536,enc,58
16384,401328,dec,58
16384,397232,enc,59
16384,403632,dec,59
16384,396240,enc,60
16384,403696,dec,60
16384,395968,enc,61
16384,402384,dec,61
16384,397248,enc,62
16384,401664,dec,62
16384,397120,enc,63
16384,403280,dec,63
32768,778000,enc,0
32768,784496,dec,0
32768,777680,enc,1
32768,784928,dec,1
32768,778192,enc,2
32768,784192,dec,2
32768,776928,enc,3
32768,782992,dec,3
32768,777680,enc,4
32768,783024,dec,4
32768,778304,enc,5
32768,784560,dec,5
32768,777840,enc,6
32768,784480,dec,6
32768,777696,enc,7
32768,784400,dec,7
32768,777120,enc,8
32768,782224,dec,8
32768,778000,enc,9
32768,784688,dec,9
32768,777824,enc,10
32768,783520,dec,10
32768,777312,enc,11
32768,784576,dec,11
32768,777536,enc,12
32768,783776,dec,12
32768,777360,enc,13
32768,782256,dec,13
32768,778288,enc,14
32768,782688,dec,14
32768,778160,enc,15
32768,784576,dec,15
32768,777632,enc,16
32768,785296,dec,16
32768,777232,enc,17
32768,784608,dec,17
32768,777520,enc,18
32768,782528,dec,18
32768,777424,enc,19
32768,783152,dec,19
32768,777968,enc,20
32768,784688,dec,20
32768,777856,enc,21
32768,783568,dec,21
32768,777488,enc,22
32768,782544,dec,22
32768,777248,enc,23
32768,782064,dec,23
32768,778464,enc,24
32768,784720,dec,24
32768,777216,enc,25
32768,782672,dec,25
32768,777392,enc,26
32768,783392,dec,26
32768,777200,enc,27
32768,784080,dec,27
32768,777232,enc,28
32768,784672,dec,28
32768,778176,enc,29
32768,783456,dec,29
32768,777216,enc,30
32768,784304,dec,30
32768,777424,enc,31
32768,783520,dec,31
32768,777408,enc,32
32768,782672,dec,32
32768,778016,enc,33
32768,785456,dec,33
32768,777424,enc,34
32768,784384,dec,34
32768,777472,enc,35
32768,784304,dec,35
32768,777744,enc,36
32768,784352,dec,36
32768,777040,enc,37
32768,782240,dec,37
32768,778000,enc,38
32768,784352,dec,38
32768,777584,enc,39
32768,783536,dec,39
32768,778240,enc,40
32768,784464,dec,40
32768,777264,enc,41
32768,782192,dec,41
32768,776992,enc,42
32768,784352,dec,42
32768,777840,enc,43
32768,782144,dec,43
32768,777232,enc,44
32768,782080,dec,44
32768,777648,enc,45
32768,784800,dec,45
32768,777664,enc,46
32768,782624,dec,46
32768,777520,enc,47
32768,782656,dec,47
32768,777744,enc,48
32768,781728,dec,48
32768,777760,enc,49
32768,783088,dec,49
32768,777824,enc,50
32768,783760,dec,50
32768,777408,enc,51
32768,785440,dec,51
32768,778160,enc,52
32768,783840,dec,52
