size,cycles,type,dpu
4096,10387824,dec,34
4096,10562720,enc,35
4096,10563600,dec,35
4096,9706512,enc,36
4096,9706928,dec,36
4096,10851216,enc,37
4096,10851424,dec,37
4096,10257728,enc,38
4096,10257952,dec,38
4096,10094288,enc,39
4096,10094816,dec,39
4096,10299824,enc,40
4096,10299952,dec,40
4096,10472928,enc,41
4096,10472960,dec,41
4096,10428064,enc,42
4096,10428464,dec,42
4096,10343712,enc,43
4096,10344000,dec,43
4096,10343712,enc,44
4096,10344000,dec,44
4096,10214288,enc,45
4096,10214624,dec,45
4096,10562720,enc,46
4096,10563600,dec,46
4096,10680560,enc,47
4096,10680944,dec,47
4096,10428176,enc,48
4096,10428496,dec,48
4096,10002768,enc,49
4096,10003152,dec,49
4096,10723392,enc,50
4096,10723616,dec,50
4096,10214224,enc,51
4096,10214656,dec,51
4096,10597632,enc,52
4096,10597968,dec,52
4096,10094480,enc,53
4096,10094896,dec,53
4096,10299824,enc,54
4096,10299904,dec,54
4096,10428176,enc,55
4096,10428528,dec,55
4096,10045344,enc,56
4096,10045648,dec,56
4096,10638800,enc,57
4096,10639216,dec,57
4096,10045232,enc,58
4096,10045680,dec,58
4096,10638864,enc,59
4096,10639328,dec,59
4096,10045328,enc,60
4096,10045504,dec,60
4096,10472560,enc,61
4096,10472928,dec,61
4096,10387328,enc,62
4096,10387808,dec,62
4096,10387456,enc,63
4096,10387824,dec,63
8192,20465328,enc,0
8192,20465584,dec,0
8192,20724736,enc,1
8192,20724816,dec,1
8192,20465360,enc,2
8192,20465520,dec,2
8192,20465152,enc,3
8192,20465584,dec,3
8192,20894800,enc,4
8192,20894752,dec,4
8192,20139792,enc,5
8192,20139888,dec,5
8192,20465264,enc,6
8192,20465504,dec,6
8192,20975152,enc,7
8192,20975504,dec,7
8192,20211712,enc,8
8192,20212080,dec,8
8192,21144032,enc,9
8192,21144144,dec,9
8192,20211712,enc,10
8192,20212096,dec,10
8192,20139744,enc,11
8192,20139968,dec,11
8192,21226096,enc,12
8192,21226448,dec,12
8192,20378704,enc,13
8192,20378992,dec,13
8192,21075104,enc,14
8192,21075728,dec,14
8192,20724208,enc,15
8192,20724800,dec,15
8192,20211712,enc,16
8192,20212096,dec,16
8192,21566912,enc,17
8192,21567232,dec,17
8192,20549152,enc,18
8192,20549296,dec,18
8192,20549296,enc,19
8192,20549312,dec,19
8192,21567024,enc,20
8192,21567280,dec,20
8192,20378704,enc,21
8192,20378992,dec,21
8192,19872368,enc,22
8192,19872704,dec,22
8192,19703216,enc,23
8192,19703664,dec,23
8192,21226192,enc,24
8192,21226352,dec,24
8192,20465232,enc,25
8192,20465568,dec,25
8192,20211728,enc,26
8192,20212096,dec,26
8192,20549008,enc,27
8192,20549440,dec,27
8192,20378720,enc,28
8192,20379024,dec,28
8192,20549296,enc,29
8192,20549312,dec,29
8192,21309696,enc,30
8192,21309664,dec,30
8192,19872432,enc,31
8192,19872752,dec,31
8192,21075648,enc,32
8192,21075728,dec,32
8192,20549296,enc,33
8192,20549424,dec,33
8192,20805728,enc,34
8192,20805968,dec,34
8192,20295824,enc,35
8192,20296000,dec,35
8192,20894480,enc,36
8192,20894848,dec,36
8192,20805728,enc,37
8192,20805968,dec,37
8192,20805488,enc,38
8192,20805856,dec,38
8192,20465360,enc,39
8192,20465520,dec,39
8192,20636864,enc,40
8192,20637232,dec,40
8192,20295776,enc,41
8192,20296080,dec,41
8192,20724368,enc,42
8192,20724800,dec,42
8192,20548928,enc,43
8192,20549296,dec,43
8192,20894464,enc,44
8192,20894624,dec,44
8192,20894720,enc,45
8192,20895152,dec,45
8192,21394752,enc,46
8192,21394944,dec,46
8192,20211792,enc,47
8192,20212064,dec,47
8192,21480592,enc,48
8192,21480752,dec,48
8192,20724208,enc,49
8192,20724800,dec,49
8192,20894688,enc,50
8192,20894800,dec,50
8192,20378624,enc,51
8192,20378848,dec,51
8192,20295744,enc,52
8192,20296096,dec,52
8192,20724208,enc,53
8192,20724816,dec,53
8192,20211792,enc,54
8192,20212080,dec,54
8192,20465312,enc,55
8192,20465584,dec,55
8192,20465232,enc,56
8192,20465568,dec,56
8192,21074576,enc,57
8192,21075712,dec,57
8192,20724448,enc,58
8192,20724816,dec,58
8192,20894688,enc,59
8192,20894864,dec,59
8192,20724736,enc,60
8192,20724800,dec,60
8192,20805664,enc,61
8192,20806032,dec,61
8192,20724208,enc,62
8192,20724816,dec,62
8192,20211824,enc,63
8192,20212080,dec,63
16384,43501696,enc,0
16384,43502448,dec,0
16384,40880368,enc,1
16384,40880640,dec,1
16384,40541744,enc,2
16384,40542000,dec,2
16384,41223200,enc,3
16384,41223552,dec,3
16384,40707264,enc,4
16384,40707696,dec,4
